ID,Piccadilly Circus Station London,London Bridge,St. Paul's Cathedral London,Buckingham Palace London,Hyde Park London,London eye,Westminster Abbey London,University of London,Waterloo Station London,Euston Station London,Farringdon Station London,Paddington Station London,Victoria Station London,The British Museum,Tower Bridge London,Kensington Palace London
1.2.1,17.59,82.41,,,,,,,,,,,,,,
1.2.3,4.96,95.04,,,,,,,,,,,,,,
1.2.5,92.43,7.57,,,,,,,,,,,,,,
1.2.10,27.98,72.02,,,,,,,,,,,,,,
1.2.15,31.30,68.70,,,,,,,,,,,,,,
1.5.1,8.87,58.63,13.98,17.36,1.16,,,,,,,,,,,
1.5.3,21.45,45.84,10.36,14.16,8.18,,,,,,,,,,,
1.5.5,0.00,20.84,23.77,22.69,32.70,,,,,,,,,,,
1.5.10,5.20,45.20,22.45,12.35,14.81,,,,,,,,,,,
1.5.15,0.00,5.11,24.24,40.10,30.56,,,,,,,,,,,
1.10.1,10.10,10.60,14.41,20.53,1.54,26.84,2.49,0.00,13.48,0.00,,,,,,
1.10.3,12.53,25.82,7.13,10.01,9.63,9.01,11.30,0.00,14.57,0.00,,,,,,
1.10.5,0.00,34.94,8.69,7.53,9.45,15.08,8.14,2.28,13.88,0.00,,,,,,
1.10.10,12.43,12.93,22.79,7.37,6.94,14.93,14.11,0.00,8.51,0.00,,,,,,
1.10.15,1.48,6.47,20.03,12.18,4.93,23.29,5.75,0.00,25.88,0.00,,,,,,
1.15.1,5.89,6.32,5.38,7.31,3.27,24.94,16.90,0.00,12.03,3.34,2.59,0.00,6.20,0.00,5.82,
1.15.3,9.61,2.36,11.32,17.42,0.79,16.81,7.55,0.00,11.99,0.00,3.65,0.00,6.37,3.83,8.30,
1.15.5,7.90,14.37,4.68,2.60,4.26,12.98,7.02,0.00,14.56,1.78,1.30,0.00,7.68,3.93,16.93,
1.15.10,7.01,20.62,11.45,5.23,6.64,13.51,1.48,0.00,14.89,0.00,1.71,0.00,7.30,0.00,10.16,
1.15.15,6.17,14.07,5.66,6.25,0.59,5.01,4.95,2.80,38.20,0.00,0.95,0.00,4.30,2.13,8.91,
3.2.1,39.82,,,,,60.18,,,,,,,,,,
3.2.3,55.28,,,,,44.72,,,,,,,,,,
3.2.5,30.03,,,,,69.97,,,,,,,,,,
3.2.10,23.64,,,,,76.36,,,,,,,,,,
3.2.15,50.78,,,,,49.22,,,,,,,,,,
3.5.1,12.27,,0.96,,,51.05,32.71,,,,,,,3.00,,
3.5.3,34.88,,9.95,,,34.88,13.05,,,,,,,7.24,,
3.5.5,34.58,,4.27,,,18.33,27.37,,,,,,,15.44,,
3.5.10,26.04,,9.33,,,30.84,18.54,,,,,,,15.25,,
3.5.15,24.44,,7.44,,,35.30,26.32,,,,,,,6.50,,
3.10.1,28.71,,5.81,,12.87,23.33,16.37,3.12,,0.00,4.25,,,0.00,5.54,
3.10.3,13.73,,4.63,,28.37,21.28,2.66,5.80,,4.43,6.65,,,3.32,9.12,
