ID,Piccadilly Circus Station London,London Bridge,St. Paul's Cathedral London,Buckingham Palace London,Hyde Park London,London eye,Westminster Abbey London,University of London,Waterloo Station London,Euston Station London,Farringdon Station London,Paddington Station London,Victoria Station London,The British Museum,Tower Bridge London,Kensington Palace London
1.2.1,44.12,55.88,,,,,,,,,,,,,,
1.2.3,23.05,76.95,,,,,,,,,,,,,,
1.2.5,26.09,73.91,,,,,,,,,,,,,,
1.2.10,29.63,70.37,,,,,,,,,,,,,,
1.2.15,29.63,70.37,,,,,,,,,,,,,,
1.5.1,19.99,25.32,21.65,17.49,15.55,,,,,,,,,,,
1.5.3,12.04,40.21,18.06,19.23,10.46,,,,,,,,,,,
1.5.5,12.33,34.93,23.97,17.98,10.79,,,,,,,,,,,
1.5.10,14.30,33.96,20.65,19.66,11.43,,,,,,,,,,,
1.5.15,13.91,33.03,23.15,18.72,11.20,,,,,,,,,,,
1.10.1,12.56,15.91,13.60,10.99,9.77,12.02,9.09,0.00,16.07,0.00,,,,,,
1.10.3,6.86,22.92,10.30,10.96,5.96,15.28,9.44,0.00,18.27,0.00,,,,,,
1.10.5,7.20,20.41,14.01,10.51,6.30,15.88,8.65,0.00,17.04,0.00,,,,,,
1.10.10,8.22,19.52,11.87,11.30,6.57,15.47,9.59,0.00,17.47,0.00,,,,,,
1.10.15,8.11,19.27,13.50,10.92,6.53,15.83,9.33,0.00,16.52,0.00,,,,,,
1.15.1,9.24,11.71,10.01,8.09,7.19,8.85,6.69,0.00,11.83,0.00,0.80,0.00,9.24,8.44,7.91,
1.15.3,5.58,18.62,8.37,8.91,4.84,12.42,7.67,0.00,14.84,0.00,1.06,0.00,6.13,2.04,9.52,
1.15.5,5.61,15.91,10.92,8.19,4.91,12.37,6.74,0.00,13.28,0.00,0.99,0.00,5.78,1.99,13.31,
1.15.10,6.55,15.56,9.46,9.01,5.24,12.33,7.64,0.00,13.92,0.00,0.75,0.00,6.71,3.36,9.46,
1.15.15,6.25,14.84,10.40,8.41,5.03,12.19,7.18,0.00,12.72,0.00,0.82,0.00,6.39,3.27,12.53,
3.2.1,53.85,,,,,46.15,,,,,,,,,,
3.2.3,54.95,,,,,45.05,,,,,,,,,,
3.2.5,54.95,,,,,45.05,,,,,,,,,,
3.2.10,53.85,,,,,46.15,,,,,,,,,,
3.2.15,52.87,,,,,47.13,,,,,,,,,,
3.5.1,33.76,,7.23,,,28.94,24.45,,,,,,,5.63,,
3.5.3,33.71,,7.31,,,27.64,24.72,,,,,,,6.62,,
3.5.5,33.28,,6.75,,,27.29,26.15,,,,,,,6.54,,
3.5.10,33.12,,6.88,,,28.39,25.05,,,,,,,6.55,,
3.5.15,32.10,,6.81,,,28.62,26.08,,,,,,,6.39,,
3.10.1,19.89,,4.26,,15.57,17.05,14.40,3.20,,2.89,3.51,,,3.32,15.91,
3.10.3,20.29,,4.40,,12.75,16.64,14.88,3.42,,3.54,3.64,,,3.99,16.46,
3.10.5,19.48,,3.95,,10.81,15.97,15.31,3.28,,3.40,4.22,,,3.83,19.75,
3.10.10,19.23,,4.00,,10.99,16.49,14.55,3.30,,3.41,4.25,,,3.80,19.98,
3.10.15,18.72,,3.97,,10.98,16.69,15.21,3.26,,3.36,4.21,,,3.72,19.87,
3.15.1,10.80,11.11,2.32,9.45,8.46,9.26,7.82,1.74,11.50,1.57,1.91,,10.80,1.80,8.64,2.82
3.15.3,10.88,11.40,2.36,9.58,6.84,8.92,7.98,1.83,11.76,1.90,1.95,,10.88,2.14,8.83,2.74
3.15.5,12.20,7.77,2.47,8.99,6.77,10.00,9.58,2.05,9.58,2.13,2.64,,8.31,2.40,12.37,2.74
3.15.10,11.97,7.89,2.49,9.05,6.84,10.26,9.05,2.05,9.66,2.12,2.65,,8.34,2.37,12.44,2.83
3.15.15,11.68,7.93,2.48,9.04,6.85,10.41,9.49,2.03,9.64,2.10,2.63,,8.29,2.32,12.39,2.71
4.15.1,5.84,2.81,5.34,6.55,3.90,2.53,8.73,6.55,5.34,11.90,3.94,7.48,6.23,14.69,,8.18
4.15.3,3.86,2.54,5.57,4.64,4.22,4.70,6.96,9.74,5.64,10.59,6.21,13.19,3.86,11.59,,6.69
4.15.5,3.81,2.91,4.75,4.60,4.60,4.28,6.96,8.31,5.66,8.88,5.41,19.14,3.81,9.81,,7.08
4.15.10,4.01,3.06,5.00,4.84,4.84,4.50,4.72,8.74,5.96,9.35,5.69,20.13,4.01,10.32,,4.84
4.15.15,3.71,2.93,4.67,4.54,4.80,4.38,7.00,8.17,5.73,8.65,5.39,19.50,3.71,9.60,,7.24
5.5.1,22.22,17.33,12.04,,,,26.75,,,21.66,,,,,,
5.5.3,25.61,14.47,15.15,,,,39.29,,,5.49,,,,,,
5.5.5,24.53,15.92,15.68,,,,37.23,,,6.65,,,,,,
5.5.10,25.86,12.81,14.78,,,,41.16,,,5.40,,,,,,
5.5.15,25.25,14.72,14.43,,,,40.19,,,5.41,,,,,,
5.10.1,14.77,11.52,8.00,,10.59,2.86,17.78,4.80,,14.40,,8.80,,,6.46,
5.10.3,18.81,10.62,11.13,,5.31,5.94,28.86,3.08,,4.03,,2.49,,,9.74,
5.10.5,16.57,10.75,10.59,,5.90,6.32,25.14,3.23,,4.49,,2.46,,,14.56,
5.10.10,18.13,8.98,10.36,,7.05,7.57,28.85,3.37,,3.79,,3.29,,,8.62,
5.10.15,18.06,10.53,10.32,,6.04,6.97,28.75,3.35,,3.87,,2.85,,,9.27,
5.15.1,9.37,7.31,5.08,6.60,6.72,1.81,11.28,3.05,8.46,9.14,,5.58,10.15,9.62,4.10,1.76
5.15.3,11.10,6.27,6.57,9.97,3.14,3.51,17.03,1.82,8.72,2.38,,1.47,15.33,5.03,5.75,1.92
5.15.5,10.17,6.60,6.50,8.74,3.62,3.88,15.44,1.98,8.01,2.76,,1.51,13.81,5.69,8.94,2.35
5.15.10,10.29,5.10,5.88,10.96,4.00,4.30,16.38,1.91,7.88,2.15,,1.87,17.20,4.67,4.89,2.53
5.15.15,10.46,6.10,5.98,10.52,3.50,4.04,16.65,1.94,8.22,2.24,,1.65,16.39,4.86,5.37,2.08
2.15.1,,5.68,6.33,5.49,4.09,10.83,9.71,2.11,7.73,2.25,5.80,24.09,1.99,4.35,4.75,4.80
2.15.3,,5.68,6.33,5.49,4.09,10.83,9.71,2.11,7.73,2.25,5.80,24.09,1.99,4.35,4.75,4.80
2.15.5,,4.06,3.89,3.56,13.63,8.49,7.79,1.95,5.93,2.08,5.34,29.99,1.95,4.02,3.04,4.30
2.15.10,,4.21,4.21,3.52,14.73,9.47,4.37,2.10,6.06,2.23,5.83,33.96,1.89,4.33,3.09,0.00
2.15.15,,4.04,3.86,3.40,13.15,8.74,7.60,1.93,5.83,2.04,5.36,30.94,1.83,3.97,2.98,4.33
2.10.1,,,8.70,7.56,,14.89,,2.90,10.63,3.09,,33.13,,5.98,6.53,6.60
2.10.3,,,8.70,7.56,,14.89,,2.90,10.63,3.09,,33.13,,5.98,6.53,6.60
2.10.5,,,5.79,5.29,,12.63,,2.89,8.82,3.09,,44.60,,5.98,4.52,6.39
2.10.10,,,6.10,5.11,,13.73,,3.05,8.79,3.23,,49.23,,6.28,4.48,0.00
2.10.15,,,5.67,5.00,,12.86,,2.84,8.57,3.00,,45.49,,5.83,4.37,6.36
2.5.1,,,,14.20,,,,5.45,,5.80,,62.28,,,12.27,
2.5.3,,,,14.20,,,,5.45,,5.80,,62.28,,,12.27,
2.5.5,,,,8.76,,,,4.79,,5.11,,73.85,,,7.48,
2.5.10,,,,7.85,,,,4.69,,4.96,,75.62,,,6.89,
2.5.15,,,,8.24,,,,4.67,,4.94,,74.94,,,7.21,
4.10.1,,,,9.21,5.48,3.56,,9.21,7.52,16.75,5.54,10.53,,20.68,,11.52
4.10.3,,,,6.01,5.46,6.09,,12.61,7.31,13.71,8.04,17.09,,15.02,,8.66
4.10.5,,,,5.91,5.91,5.50,,10.68,7.28,11.42,6.96,24.61,,12.62,,9.10
4.10.10,,,,6.11,6.11,5.68,,11.04,7.52,11.80,7.19,25.41,,13.03,,6.11
4.10.15,,,,5.82,6.16,5.61,,10.47,7.34,11.09,6.90,25.01,,12.31,,9.29
4.2.1,,,,,,25.25,,,,,,74.75,,,,
4.2.3,,,,,,26.27,,,,,,73.73,,,,
4.2.5,,,,,,18.27,,,,,,81.73,,,,
4.2.10,,,,,,18.27,,,,,,81.73,,,,
4.2.15,,,,,,18.32,,,,,,81.68,,,,
4.5.1,,,,,,6.90,,17.87,,32.48,,20.42,,,,22.33
4.5.3,,,,,,10.47,,21.69,,23.57,,29.38,,,,14.89
4.5.5,,,,,,8.97,,17.43,,18.63,,40.13,,,,14.84
4.5.10,,,,,,9.47,,18.38,,19.65,,42.33,,,,10.18
4.5.15,,,,,,9.13,,17.04,,18.04,,40.68,,,,15.11
5.2.1,,,,,,,55.25,,,44.75,,,,,,
5.2.3,,,,,,,87.75,,,12.25,,,,,,
5.2.5,,,,,,,84.85,,,15.15,,,,,,
5.2.10,,,,,,,88.40,,,11.60,,,,,,
5.2.15,,,,,,,88.14,,,11.86,,,,,,
2.2.1,,,,,,,,,,8.52,,91.48,,,,
2.2.3,,,,,,,,,,8.52,,91.48,,,,
2.2.5,,,,,,,,,,6.47,,93.53,,,,
2.2.10,,,,,,,,,,6.16,,93.84,,,,
2.2.15,,,,,,,,,,6.19,,93.81,,,,
